;BRL;BRL_comm_PCA
2012-08-10;2.017100095748902;1.791
2012-08-13;2.0139000415802;1.805
2012-08-14;2.019700050354004;1.811
2012-08-15;2.0257999897003174;1.817
2012-08-16;2.0236001014709473;1.817
2012-08-17;2.0151000022888184;1.82
2012-08-20;2.0144999027252197;1.81
2012-08-21;2.0143001079559326;1.824
2012-08-22;2.0109000205993652;1.822
2012-08-23;2.015300035476685;1.812
2012-08-24;2.0227999687194824;1.802
2012-08-27;2.023099899291992;1.803
2012-08-28;2.0309998989105225;1.803
2012-08-29;2.0408999919891357;1.814
2012-08-30;2.046999931335449;1.823
2012-08-31;2.0455000400543213;1.825
2012-09-03;2.0276999473571777;1.82
2012-09-04;2.028599977493286;1.821
2012-09-05;2.0367000102996826;1.825
2012-09-06;2.036200046539306;1.828
2012-09-07;2.0250000953674316;1.804
2012-09-10;2.0253000259399414;1.807
2012-09-11;2.0192999839782715;1.789
2012-09-12;2.011899948120117;1.788
2012-09-13;2.0237998962402344;1.779
2012-09-14;2.018199920654297;1.764
2012-09-17;2.009299993515014;1.774
2012-09-18;2.0302999019622803;1.768
2012-09-19;2.01990008354187;1.764
2012-09-20;2.0215001106262207;1.77
2012-09-21;2.0181000232696533;1.761
2012-09-24;2.0188000202178955;1.77
2012-09-25;2.0234999656677246;1.79
2012-09-26;2.0281999111175537;1.771
2012-09-27;2.0332000255584717;1.76
2012-09-28;2.0269999504089355;1.772
2012-10-01;2.022599935531616;1.77
2012-10-02;2.0230000019073486;1.77
2012-10-03;2.025099992752075;1.761
2012-10-04;2.018699884414673;1.77
2012-10-05;2.0160999298095703;1.772
2012-10-08;1.9974000453948977;1.774
2012-10-09;2.028700113296509;1.781
2012-10-10;2.0306999683380127;1.781
2012-10-11;2.039400100708008;1.799
2012-10-12;2.039099931716919;1.799
2012-10-15;2.0418999195098877;1.791
2012-10-16;2.0355000495910645;1.794
2012-10-17;2.033400058746338;1.806
2012-10-18;2.029900074005127;1.801
2012-10-19;2.0260000228881836;1.81
2012-10-22;2.0260000228881836;1.813
2012-10-23;2.0230000019073486;1.824
2012-10-24;2.025399923324585;1.845
2012-10-25;2.0241000652313232;1.836
2012-10-26;2.0239999294281006;1.821
2012-10-29;2.0251998901367188;1.837
2012-10-30;2.030900001525879;1.83
2012-10-31;2.0290000438690186;1.821
2012-11-01;2.027899980545044;1.818
2012-11-02;2.0295000076293945;1.781
2012-11-05;2.0288000106811523;1.811
2012-11-06;2.0341999530792236;1.822
2012-11-07;2.029099941253662;1.819
2012-11-08;2.0329999923706055;1.832
2012-11-09;2.0371999740600586;1.846
2012-11-12;2.0445001125335693;1.841
2012-11-13;2.049299955368042;1.84
2012-11-14;2.0571999549865723;1.859
2012-11-15;2.063699960708618;1.865
2012-11-16;2.0648000240325928;1.87
2012-11-19;2.0806000232696533;1.861
2012-11-20;2.077199935913086;1.841
2012-11-21;2.080199956893921;1.803
2012-11-22;2.095599889755249;1.85
2012-11-23;2.103300094604492;1.843
2012-11-26;2.0801000595092773;1.845
2012-11-27;2.0813000202178955;1.87
2012-11-28;2.0829999446868896;1.859
2012-11-29;2.091900110244751;1.871
2012-11-30;2.095599889755249;1.851
2012-12-03;2.1338999271392822;1.87
2012-12-05;2.118299961090088;1.867
2012-12-06;2.087100028991699;1.845
2012-12-07;2.075999975204468;1.832
2012-12-10;2.073499917984009;1.837
2012-12-11;2.076200008392334;1.839
2012-12-12;2.0755999088287354;1.834
2012-12-13;2.0703999996185303;1.827
2012-12-14;2.0843000411987305;1.822
2012-12-17;2.085099935531616;1.825
2012-12-18;2.095099925994873;1.833
2012-12-19;2.0880000591278076;1.843
2012-12-20;2.069200038909912;1.835
2012-12-21;2.0692999362945557;1.846
2012-12-24;2.056299924850464;1.833
2012-12-25;2.074899911880493;1.835
2012-12-26;2.0771000385284424;1.875
2012-12-27;2.0480000972747803;1.887
2012-12-28;2.0416998863220215;1.888
2012-12-31;2.045099973678589;1.899
2013-01-01;2.0506999492645264;1.88
2013-01-02;2.045599937438965;1.887
2013-01-03;2.045599937438965;1.859
2013-01-04;2.0487000942230225;1.862
2013-01-07;2.032399892807007;1.831
2013-01-08;2.026400089263916;1.866
2013-01-09;2.04010009765625;1.853
2013-01-10;2.0476999282836914;1.859
2013-01-11;2.0276999473571777;1.877
2013-01-14;2.0297000408172607;1.88
2013-01-15;2.032399892807007;1.828
2013-01-17;2.040800094604492;1.882
2013-01-18;2.037100076675415;1.834
2013-01-21;2.0297999382019043;1.865
2013-01-22;2.0387001037597656;1.874
2013-01-23;2.0409998893737793;1.856
2013-01-24;2.033900022506714;1.849
2013-01-25;2.0285000801086426;1.856
2013-01-28;2.0285000801086426;1.859
2013-01-29;1.9940999746322632;1.865
2013-01-30;1.9864000082015991;1.864
2013-01-31;1.9882999658584597;1.805
2013-02-01;1.990599989891052;1.849
2013-02-04;1.9864000082015991;1.808
2013-02-05;1.9946999549865725;1.822
2013-02-06;1.982900023460388;1.815
2013-02-07;1.9859000444412231;1.819
2013-02-08;1.9635000228881836;1.795
2013-02-11;1.9701000452041624;1.816
2013-02-12;1.9707000255584717;1.815
2013-02-13;1.9687999486923216;1.814
2013-02-14;1.964100003242493;1.764
2013-02-15;1.9562000036239624;1.801
2013-02-18;1.9651999473571775;1.808
2013-02-19;1.9596999883651731;1.806
2013-02-20;1.9538999795913696;1.816
2013-02-21;1.9601000547409055;1.8
2013-02-22;1.9717999696731567;1.824
2013-02-25;1.969099998474121;1.813
2013-02-26;1.9804999828338623;1.779
2013-02-27;1.982100009918213;1.825
2013-02-28;1.9744000434875488;1.826
2013-03-01;1.9776999950408936;1.817
2013-03-04;1.9810999631881712;1.833
2013-03-05;1.9710999727249143;1.82
2013-03-06;1.962499976158142;1.816
2013-03-07;1.9707000255584717;1.763
2013-03-08;1.9594999551773071;1.828
2013-03-11;1.9419000148773191;1.801
2013-03-12;1.9572999477386477;1.837
2013-03-13;1.9656000137329104;1.845
2013-03-14;1.971500039100647;1.846
2013-03-15;1.972000002861023;1.875
2013-03-18;1.978800058364868;1.861
2013-03-19;1.982800006866455;1.859
2013-03-20;1.9825999736785889;1.842
2013-03-21;1.9844000339508057;1.858
2013-03-22;2.0051000118255615;1.851
2013-03-25;2.006500005722046;1.852
2013-03-26;2.00600004196167;1.832
2013-03-27;2.014899969100952;1.854
2013-03-28;2.010200023651123;1.85
2013-03-29;2.019200086593628;1.844
2013-04-01;2.0190000534057617;1.84
2013-04-02;2.0151000022888184;1.793
2013-04-03;2.0185999870300293;1.841
2013-04-04;2.0209999084472656;1.842
2013-04-05;2.0127999782562256;1.853
2013-04-08;1.983199954032898;1.816
2013-04-09;1.989699959754944;1.807
2013-04-10;1.9805999994277952;1.824
2013-04-11;1.9731999635696411;1.817
2013-04-12;1.9747999906539917;1.809
2013-04-15;1.9661999940872192;1.821
2013-04-16;1.9980000257492063;1.813
2013-04-17;1.9845999479293823;1.817
2013-04-18;1.997099995613098;1.792
2013-04-19;1.9816999435424805;1.809
2013-04-22;2.005199909210205;1.814
2013-04-23;2.015899896621704;1.757
2013-04-24;2.018399953842163;1.808
2013-04-25;2.008699893951416;1.792
2013-04-26;1.9993000030517576;1.748
2013-04-29;1.993299961090088;1.771
2013-04-30;2.00570011138916;1.759
2013-05-01;2.001499891281128;1.761
2013-05-02;2.001699924468994;1.737
2013-05-03;2.0069000720977783;1.719
2013-05-06;2.0053999423980713;1.697
2013-05-07;2.0058999061584473;1.745
2013-05-08;2.0058000087738037;1.745
2013-05-09;2.000699996948242;1.767
2013-05-10;2.009299993515014;1.733
2013-05-13;2.0137999057769775;1.773
2013-05-14;2.006200075149536;1.781
2013-05-15;2.018399953842163;1.784
2013-05-16;2.01990008354187;1.783
2013-05-17;2.022599935531616;1.773
2013-05-20;2.0311999320983887;1.758
2013-05-21;2.0357000827789307;1.763
2013-05-22;2.0327999591827393;1.772
2013-05-23;2.045599937438965;1.751
2013-05-24;2.041100025177002;1.742
2013-05-27;2.0469000339508057;1.734
2013-05-28;2.053499937057495;1.723
2013-05-29;2.0738000869750977;1.71
2013-05-30;2.107300043106079;1.722
2013-05-31;2.1077001094818115;1.745
2013-06-03;2.089900016784668;1.747
2013-06-04;2.121299982070923;1.757
2013-06-05;2.124000072479248;1.753
2013-06-06;2.1250998973846436;1.772
2013-06-07;2.1273999214172363;1.779
2013-06-10;2.1273999214172363;1.781
2013-06-11;2.1273999214172363;1.793
2013-06-12;2.1273999214172363;1.789
2013-06-13;2.1526999473571777;1.745
2013-06-14;2.11680006980896;1.725
2013-06-17;2.096400022506714;1.729
2013-06-18;2.167799949645996;1.739
2013-06-19;2.1775999069213867;1.737
2013-06-20;2.2242000102996826;1.701
2013-06-21;2.25570011138916;1.779
2013-06-24;2.2385001182556152;1.757
2013-06-25;2.225600004196167;1.742
2013-06-26;2.210200071334839;1.774
2013-06-27;2.186199903488159;1.77
2013-06-28;2.1958999633789062;1.761
2013-07-01;2.189199924468994;1.744
2013-07-02;2.223099946975708;1.75
2013-07-03;2.2472000122070312;1.69
2013-07-04;2.263400077819824;1.689
2013-07-05;2.246000051498413;1.658
2013-07-08;2.247499942779541;1.699
2013-07-09;2.2614998817443848;1.695
2013-07-10;2.2541000843048096;1.701
2013-07-11;2.270400047302246;1.739
2013-07-12;2.252000093460083;2.143
2013-07-15;2.261899948120117;1.754
2013-07-16;2.2163000106811523;1.753
2013-07-17;2.248800039291382;1.765
2013-07-18;2.222899913787842;1.732
2013-07-19;2.2218000888824463;1.741
2013-07-22;2.244800090789795;1.746
2013-07-23;2.2302000522613525;1.734
2013-07-24;2.2100000381469727;1.767
2013-07-25;2.2435998916625977;1.748
2013-07-26;2.240700006484986;1.698
2013-07-29;2.2544000148773193;1.746
2013-07-30;2.2665998935699463;1.768
2013-07-31;2.279400110244751;1.766
2013-08-01;2.273699998855591;1.766
2013-08-02;2.3011999130249023;1.822
2013-08-05;2.2839999198913574;1.853
2013-08-06;2.3025999069213867;1.831
2013-08-07;2.2952001094818115;1.838
2013-08-08;2.3041000366210938;1.829
2013-08-09;2.2785000801086426;1.805
2013-08-12;2.2685999870300293;1.848
2013-08-13;2.2844998836517334;1.866
2013-08-14;2.310699939727783;1.871
2013-08-15;2.321500062942505;1.852
2013-08-16;2.3378000259399414;1.849
2013-08-19;2.387500047683716;1.857
2013-08-20;2.409600019454956;1.887
2013-08-21;2.393899917602539;1.947
2013-08-22;2.4477999210357666;1.971
2013-08-23;2.432499885559082;1.964
2013-08-26;2.3454999923706055;1.969
2013-08-27;2.376199960708618;1.965
2013-08-28;2.3684000968933105;1.991
2013-08-29;2.3424999713897705;1.967
2013-08-30;2.356100082397461;2.03
2013-09-02;2.38070011138916;2.026
2013-09-03;2.374799966812134;2.013
2013-09-04;2.3559999465942383;2.026
2013-09-05;2.357800006866455;2.007
2013-09-06;2.3203999996185303;1.998
2013-09-23;2.2074999809265137;1.884
2013-09-24;2.1958000659942627;1.896
2013-09-25;2.194700002670288;1.928
2013-09-26;2.223299980163574;1.939
2013-09-27;2.239000082015991;1.931
2013-09-30;2.2227001190185547;1.942
2013-10-01;2.2170000076293945;1.935
2013-10-02;2.212599992752075;1.946
2013-10-03;2.1895999908447266;1.949
2013-10-04;2.204900026321411;1.953
2013-10-07;2.2074999809265137;1.945
2013-10-09;2.2051000595092773;1.945
2013-10-10;2.2026000022888184;1.95
2013-10-11;2.1772000789642334;1.942
2013-10-14;2.1710000038146973;1.936
2013-10-15;2.1789000034332275;1.947
2013-10-16;2.177299976348877;1.944
2013-10-17;2.178100109100342;1.928
2013-10-18;2.1584999561309814;1.914
2013-10-21;2.1454999446868896;1.914
2013-10-22;2.170599937438965;1.934
2013-10-23;2.169600009918213;1.912
2013-10-24;2.186300039291382;1.965
2013-10-25;2.2005999088287354;1.974
2013-10-28;2.1844000816345215;1.991
2013-10-29;2.177500009536743;1.994
2013-10-30;2.181999921798706;2.01
2013-10-31;2.1810998916625977;2.015
2013-11-01;2.231800079345703;2.017
2013-11-04;2.251699924468994;2.039
2013-11-05;2.240799903869629;2.041
2013-11-06;2.2772998809814453;2.038
2013-11-07;2.2825000286102295;2.036
2013-11-08;2.3029000759124756;2.057
2013-11-11;2.309299945831299;2.079
2013-11-12;2.327800035476685;2.081
2013-11-13;2.330399990081787;2.111
2013-11-14;2.3289999961853027;2.087
2013-11-15;2.311300039291382;2.088
2013-11-18;2.3159000873565674;2.069
2013-11-19;2.2604000568389893;2.079
2013-11-20;2.2688000202178955;2.071
2013-11-21;2.268699884414673;2.106
2013-11-22;2.3020999431610107;2.135
2013-11-25;2.2737998962402344;2.124
2013-11-26;2.2808001041412354;2.131
2013-11-27;2.293800115585327;2.146
2013-11-28;2.3269999027252197;2.174
2013-11-29;2.3148999214172363;2.17
2013-12-02;2.3308000564575195;2.166
2013-12-03;2.353300094604492;2.195
2013-12-04;2.372999906539917;2.191
2013-12-05;2.388000011444092;2.204
2013-12-06;2.3561999797821045;2.196
2013-12-09;2.321799993515014;2.151
2013-12-10;2.316999912261963;2.174
2013-12-11;2.305999994277954;2.167
2013-12-12;2.33870005607605;2.203
2013-12-13;2.3320000171661377;2.219
2013-12-16;2.325000047683716;2.18
2013-12-17;2.3229000568389893;2.186
2013-12-18;2.3164000511169434;2.189
2013-12-19;2.328900098800659;2.214
2013-12-20;2.3545000553131104;2.219
2013-12-23;2.382699966430664;2.209
2013-12-24;2.3540000915527344;2.221
2013-12-25;2.3552000522613525;2.226
2013-12-26;2.3545000553131104;2.228
2013-12-27;2.352299928665161;2.231
2013-12-30;2.3334999084472656;2.234
2013-12-31;2.359299898147583;2.226
2014-01-01;2.3592000007629395;2.235
2014-01-02;2.357100009918213;2.234
2014-01-03;2.384700059890747;2.27
2014-01-06;2.371500015258789;2.235
2014-01-07;2.373699903488159;2.245
2014-01-08;2.3687000274658203;2.249
2014-01-09;2.3919999599456787;2.267
2014-01-10;2.388000011444092;2.28
2014-01-14;2.356800079345703;2.234
2014-01-15;2.351599931716919;2.247
2014-01-16;2.3554999828338623;2.267
2014-01-17;2.360599994659424;2.282
2014-01-20;2.3475000858306885;2.296
2014-01-21;2.3405001163482666;2.281
2014-01-22;2.357800006866455;2.314
2014-01-23;2.3696000576019287;2.312
2014-01-24;2.390899896621704;2.343
2014-01-27;2.393199920654297;2.352
2014-01-28;2.4184000492095947;2.366
2014-01-29;2.4233999252319336;2.342
2014-01-30;2.4323999881744385;2.378
2014-01-31;2.408799886703491;2.375
2014-02-03;2.422300100326538;2.388
2014-02-04;2.4372000694274902;2.426
2014-02-05;2.406399965286255;2.214
2014-02-06;2.3954999446868896;2.37
2014-02-07;2.379499912261963;2.353
2014-02-10;2.375200033187866;2.325
2014-02-11;2.4061999320983887;2.355
2014-02-12;2.401400089263916;2.311
2014-02-13;2.4170000553131104;2.325
2014-02-14;2.3910000324249268;2.319
2014-02-17;2.3840999603271484;2.283
2014-02-18;2.3817999362945557;2.283
2014-02-19;2.386100053787231;2.355
2014-02-20;2.388999938964844;2.342
2014-02-21;2.3696000576019287;2.336
2014-02-24;2.34060001373291;2.317
2014-02-25;2.3362998962402344;2.319
2014-02-26;2.338799953460694;2.324
2014-02-27;2.3480000495910645;2.342
2014-02-28;2.319000005722046;2.323
2014-03-03;2.333400011062622;2.314
2014-03-04;2.341099977493286;2.338
2014-03-05;2.3378000259399414;2.32
2014-03-06;2.317300081253052;2.31
2014-03-07;2.319999933242798;2.284
2014-03-10;2.335599899291992;2.284
2014-03-11;2.3431999683380127;2.313
2014-03-12;2.3594000339508057;2.329
2014-03-13;2.352299928665161;2.314
2014-03-14;2.3610999584198;2.306
2014-03-17;2.3405001163482666;2.274
2014-03-18;2.346100091934204;2.294
2014-03-19;2.329400062561035;2.275
2014-03-20;2.344599962234497;2.303
2014-03-21;2.3232998847961426;2.3
2014-03-24;2.3197999000549316;2.265
2014-03-25;2.3185999393463135;2.277
2014-03-26;2.3090999126434326;2.265
2014-03-27;2.2929000854492188;2.247
2014-03-28;2.256200075149536;2.23
2014-03-31;2.2560999393463135;2.204
2014-04-01;2.2692999839782715;2.2
2014-04-02;2.2583000659942627;2.238
2014-04-03;2.265000104904175;2.219
2014-04-04;2.2764999866485596;2.245
2014-04-07;2.230799913406372;2.201
2014-04-08;2.2142999172210693;2.222
2014-04-09;2.198899984359741;2.198
2014-04-10;2.181299924850464;2.187
2014-04-11;2.203900098800659;2.189
2014-04-14;2.213900089263916;2.167
2014-04-15;2.2123000621795654;2.194
2014-04-16;2.233599901199341;2.2
2014-04-17;2.2381999492645264;2.193
2014-04-18;2.2281999588012695;2.201
2014-04-21;2.2281999588012695;2.172
2014-04-22;2.2281999588012695;2.203
2014-04-23;2.236999988555908;2.197
2014-04-24;2.217900037765503;2.216
2014-04-25;2.2090001106262207;2.225
2014-04-28;2.238800048828125;2.197
2014-04-29;2.2202999591827393;2.238
2014-04-30;2.2332000732421875;2.229
2014-05-01;2.2279999256134033;2.223
2014-05-02;2.2307000160217285;2.22
2014-05-05;2.2149999141693115;2.217
2014-05-06;2.242300033569336;2.217
2014-05-07;2.2269999980926514;2.199
2014-05-08;2.2139999866485596;2.203
2014-05-09;2.2130000591278076;2.19
2014-05-12;2.2074999809265137;2.186
2014-05-13;2.20989990234375;2.198
2014-05-14;2.2116000652313232;2.193
2014-05-15;2.199700117111206;2.19
2014-05-16;2.21560001373291;2.196
2014-05-19;2.2102999687194824;2.162
2014-05-20;2.202899932861328;2.205
2014-05-21;2.2128000259399414;2.221
2014-05-22;2.2051000595092773;2.216
2014-05-23;2.2107999324798584;2.215
2014-05-26;2.2190001010894775;2.212
2014-05-27;2.221100091934204;2.18
2014-05-28;2.232800006866455;2.181
2014-05-29;2.22760009765625;2.212
2014-05-30;2.223599910736084;2.196
2014-06-02;2.236799955368042;2.2
2014-06-03;2.2737998962402344;2.211
2014-06-04;2.276599884033203;2.219
2014-06-05;2.275399923324585;2.217
2014-06-06;2.2562999725341797;2.168
2014-06-09;2.242799997329712;2.173
2014-06-10;2.2262001037597656;2.204
2014-06-11;2.219099998474121;2.202
2014-06-12;2.2304000854492188;2.203
2014-06-13;2.2269999980926514;2.163
2014-06-16;2.219599962234497;2.198
2014-06-17;2.22979998588562;2.162
2014-06-18;2.2588000297546387;2.22
2014-06-19;2.2197000980377197;2.205
2014-06-20;2.2195000648498535;2.205
2014-06-23;2.226799964904785;2.177
2014-06-24;2.2130000591278076;2.173
2014-06-25;2.22160005569458;2.214
2014-06-26;2.2047998905181885;2.209
2014-06-27;2.1939001083374023;2.21
2014-06-30;2.191800117492676;2.204
2014-07-01;2.211699962615967;2.201
2014-07-02;2.1981000900268555;2.124
2014-07-03;2.2223000526428223;2.195
2014-07-04;2.2067999839782715;2.145
2014-07-07;2.2098000049591064;2.168
2014-07-08;2.2225000858306885;2.198
2014-07-09;2.209399938583374;2.196
2014-07-10;2.20740008354187;2.158
2014-07-11;2.218600034713745;2.192
2014-07-14;2.2174999713897705;2.165
2014-07-15;2.2072999477386475;2.197
2014-07-16;2.2158000469207764;2.203
2014-07-17;2.2207000255584717;2.207
2014-07-18;2.2553999423980713;2.204
2014-07-21;2.2223000526428223;2.16
2014-07-22;2.2181999683380127;2.197
2014-07-23;2.2083001136779785;2.162
2014-07-24;2.21589994430542;2.183
2014-07-25;2.2153000831604004;2.187
2014-07-28;2.222100019454956;2.195
2014-07-29;2.2193000316619873;2.196
2014-07-30;2.2269999980926514;2.208
2014-07-31;2.2437000274658203;2.216
2014-08-01;2.2602999210357666;2.219
2014-08-04;2.2523000240325928;2.222
2014-08-05;2.253999948501587;2.22
2014-08-06;2.276299953460694;2.212
2014-08-07;2.270699977874756;2.235
2014-08-08;2.294100046157837;2.248
2014-08-11;2.2790000438690186;2.234
2014-08-12;2.27239990234375;2.232
2014-08-13;2.274899959564209;2.233
2014-08-14;2.2785000801086426;2.225
2014-08-15;2.2639000415802;2.23
2014-08-18;2.2455999851226807;2.202
2014-08-19;2.255199909210205;2.209
2014-08-20;2.243499994277954;2.22
2014-08-21;2.2572999000549316;2.231
2014-08-22;2.2667999267578125;2.226
2014-09-01;2.231600046157837;2.237
2014-09-02;2.2430999279022217;2.241
2014-09-03;2.239799976348877;2.261
2014-09-04;2.2339999675750732;2.252
2014-09-05;2.239300012588501;2.275
2014-09-08;2.237799882888794;2.259
2014-09-09;2.265000104904175;2.296
2014-09-10;2.2832000255584717;2.284
2014-09-11;2.2852001190185547;2.324
2014-09-12;2.2948999404907227;2.347
2014-09-15;2.271899938583374;2.343
2014-09-16;2.3394999504089355;2.331
2014-09-17;2.333699941635132;2.323
2014-09-18;2.355299949645996;2.358
2014-09-19;2.3631999492645264;2.34
2014-09-22;2.365000009536743;2.359
2014-09-23;2.395699977874756;2.378
2014-09-24;2.4096999168395996;2.391
2014-09-25;2.3794000148773193;2.394
2014-09-26;2.4251999855041504;2.407
2014-09-29;2.419800043106079;2.45
2014-09-30;2.44350004196167;2.446
2014-10-01;2.4358999729156494;2.445
2014-10-02;2.4816999435424805;2.449
2014-10-03;2.4921000003814697;2.457
2014-10-06;2.454900026321411;2.478
2014-10-07;2.425299882888794;2.43
2014-10-08;2.393199920654297;2.441
2014-10-09;2.374000072479248;2.456
2014-10-10;2.39490008354187;2.448
2014-10-13;2.385999917984009;2.458
2014-10-14;2.390500068664551;2.432
2014-10-15;2.3961000442504883;2.444
2014-10-16;2.452399969100952;2.41
2014-10-17;2.46589994430542;2.436
2014-10-20;2.4307000637054443;2.47
2014-10-21;2.4621999263763428;2.451
2014-10-22;2.4779999256134033;2.433
2014-10-23;2.484299898147583;2.461
2014-10-24;2.495699882507324;2.438
2014-10-27;2.468899965286255;2.427
2014-10-28;2.5195999145507812;2.425
2014-10-29;2.458199977874756;2.412
2014-10-30;2.457799911499023;2.447
2014-10-31;2.401599884033203;2.426
2014-11-03;2.4135000705718994;2.459
2014-11-04;2.492300033569336;2.487
2014-11-05;2.4939000606536865;2.444
2014-11-06;2.501300096511841;2.49
2014-11-07;2.5666000843048096;2.51
2014-11-10;2.5488998889923096;2.475
2014-11-11;2.5494000911712646;2.485
2014-11-12;2.5543999671936035;2.461
2014-11-13;2.563100099563598;2.465
2014-11-14;2.585900068283081;2.467
2014-11-17;2.5968000888824463;2.451
2014-11-18;2.604700088500977;2.475
2014-11-19;2.5790998935699463;2.47
2014-11-20;2.5689001083374023;2.51
2014-11-21;2.569700002670288;2.479
2014-11-24;2.51200008392334;2.484
2014-11-25;2.5425000190734863;2.47
2014-11-26;2.527100086212158;2.475
2014-11-27;2.4979000091552734;2.477
2014-11-28;2.5271999835968018;2.487
2014-12-01;2.5315001010894775;2.528
2014-12-02;2.556999921798706;2.545
2014-12-03;2.5648999214172363;2.546
2014-12-04;2.549099922180176;2.56
2014-12-05;2.5882999897003174;2.579
2014-12-08;2.5861001014709473;2.591
2014-12-09;2.59660005569458;2.634
2014-12-10;2.5894999504089355;2.637
2014-12-11;2.613100051879883;2.618
2014-12-12;2.646699905395508;2.625
2014-12-15;2.649600028991699;2.654
2014-12-16;2.6921000480651855;2.252
2014-12-17;2.7351999282836914;2.649
2014-12-18;2.711999893188477;2.65
2014-12-19;2.6593000888824463;2.624
2014-12-22;2.6565001010894775;2.642
2014-12-23;2.662400007247925;2.655
2014-12-24;2.691200017929077;2.664
2014-12-25;2.691200017929077;2.659
2014-12-26;2.695199966430664;2.664
2014-12-29;2.692699909210205;2.66
2014-12-30;2.6993000507354736;2.632
2014-12-31;2.654099941253662;2.65
2015-01-01;2.6542000770568848;2.64
2015-01-02;2.6531999111175537;2.634
2015-01-05;2.691200017929077;2.669
2015-01-06;2.7030999660491943;2.688
2015-01-07;2.6965999603271484;2.683
2015-01-08;2.680799961090088;2.675
2015-01-09;2.6596999168395996;2.643
2015-01-12;2.6263999938964844;2.645
2015-01-13;2.6702001094818115;2.66
2015-01-14;2.6396000385284424;2.639
2015-01-15;2.612099885940552;2.67
2015-01-16;2.638700008392334;2.645
2015-01-19;2.6168999671936035;2.648
2015-01-20;2.648099899291992;2.639
2015-01-21;2.611000061035156;2.652
2015-01-22;2.597100019454956;2.687
2015-01-23;2.57069993019104;2.702
2015-01-26;2.577800035476685;2.695
2015-01-27;2.579900026321411;2.689
2015-01-28;2.5692999362945557;2.687
2015-01-29;2.5731000900268555;2.719
2015-01-30;2.6001999378204346;2.738
2015-02-02;2.678800106048584;2.757
2015-02-03;2.723599910736084;2.766
2015-02-04;2.6910998821258545;2.768
2015-02-05;2.738300085067749;2.76
2015-02-06;2.7416000366210938;2.745
2015-02-09;2.779599905014038;2.763
2015-02-10;2.7662999629974365;2.756
2015-02-11;2.8310999870300293;2.77
2015-02-12;2.865499973297119;2.757
2015-02-13;2.816999912261963;2.763
2015-02-16;2.830899953842163;2.749
2015-02-17;2.825999975204468;2.375
2015-02-18;2.825700044631958;2.757
2015-02-19;2.8340001106262207;2.758
2015-02-20;2.863300085067749;2.394
2015-02-23;2.8640999794006348;2.765
2015-02-24;2.8747000694274902;2.775
2015-02-25;2.8570001125335693;2.773
2015-02-26;2.868799924850464;2.758
2015-02-27;2.9049999713897705;2.774
2015-03-02;2.8368000984191895;2.786
2015-03-03;2.892699956893921;2.802
2015-03-04;2.9279000759124756;2.782
2015-03-05;2.971400022506714;2.782
2015-03-06;3.0000998973846436;2.817
2015-03-09;3.056999921798706;2.849
2015-03-10;3.1226999759674072;2.839
2015-03-11;3.101599931716919;2.886
2015-03-12;3.1268999576568604;2.887
2015-03-13;3.163100004196167;2.861
2015-03-16;3.244999885559082;2.899
2015-03-17;3.242799997329712;2.908
2015-03-18;3.2462000846862793;2.917
2015-03-19;3.218100070953369;2.857
2015-03-20;3.29040002822876;2.882
2015-03-23;3.224600076675415;2.831
2015-03-24;3.1282999515533447;2.793
2015-03-25;3.136199951171875;2.437
2015-03-26;3.19729995727539;2.832
2015-03-27;3.179500102996826;2.84
2015-03-30;3.2411999702453613;2.869
2015-03-31;3.2260000705718994;2.884
2015-04-01;3.188499927520752;2.876
2015-04-02;3.164299964904785;2.887
2015-04-03;3.1222000122070312;2.858
2015-04-06;3.1215999126434326;2.876
2015-04-07;3.1215999126434326;2.891
2015-04-08;3.1250998973846436;2.89
2015-04-09;3.046099901199341;2.878
2015-04-10;3.055299997329712;2.883
2015-04-13;3.071799993515014;2.91
2015-04-14;3.1191999912261963;2.935
2015-04-15;3.0645999908447266;2.928
2015-04-16;3.025899887084961;2.901
2015-04-17;3.0185999870300293;2.844
2015-04-20;3.0367000102996826;2.844
2015-04-21;3.029400110244751;2.889
2015-04-22;3.0260000228881836;2.866
2015-04-23;3.005199909210205;2.896
2015-04-24;2.9684998989105225;2.905
2015-04-27;2.9482998847961426;2.847
2015-04-28;2.913100004196167;2.871
